,id_student,login_frequency,total_clicks,activity_std,submission_delay,avg_score,study_status,withdrawal_status,gender,region,highest_education,imd_band,age_band
48,30531,1404,6192,96.22756148704794,-101.5,87.25,finished,didn't withdraw,M,East Anglian Region,Lower Than A Level,50-60%,0-35
49,30549,67,137,0.0,0.0,35.0,finished,didn't withdraw,M,South East Region,A Level or Equivalent,0-10%,35-55
50,30850,4600,18064,70.74959562916344,-1.75,99.25,finished,didn't withdraw,F,Scotland,HE Qualification,60-70%,35-55
51,31014,880,2655,30.210203744040033,-2.6,90.0,unfinished,late withdrawal,F,West Midlands Region,Lower Than A Level,80-90%,35-55
52,31107,8181,34857,56.7863694584572,-50.333333333333336,89.22222222222223,finished,didn't withdraw,M,South West Region,Lower Than A Level,40-50%,35-55
53,31161,6072,23456,70.74959562916344,-6.5,96.5,finished,didn't withdraw,M,South Region,Post Graduate Qualification,90-100%,55<=
54,31173,1974,6006,79.06233322235192,-3.0,50.142857142857146,finished,didn't withdraw,M,North Western Region,A Level or Equivalent,40-50%,35-55
55,31205,540,1524,73.11007682483539,-59.75,90.5,finished,didn't withdraw,M,East Midlands Region,Lower Than A Level,20-30%,35-55
56,31269,448,1118,14.459137825841022,0.0,56.0,unfinished,late withdrawal,F,East Midlands Region,A Level or Equivalent,30-40%,35-55
57,31296,2856,15360,80.19695054796647,2.25,66.08333333333333,finished,didn't withdraw,M,East Midlands Region,Lower Than A Level,30-40%,0-35
58,31600,630,2145,72.69036837967197,2.4,54.8,finished,didn't withdraw,F,South West Region,A Level or Equivalent,40-50%,0-35
59,31604,3315,10790,72.37905916166778,-2.0,76.0,finished,didn't withdraw,F,South East Region,A Level or Equivalent,50-60%,35-55
60,31663,16940,64966,55.258072219853524,2.0,79.27272727272727,finished,didn't withdraw,M,North Region,A Level or Equivalent,30-40%,35-55
61,31849,4015,12969,61.45146293336489,2.0,78.0,finished,didn't withdraw,F,South West Region,Lower Than A Level,60-70%,35-55
62,32221,1485,5665,76.42750135234674,-28.0,89.6,finished,didn't withdraw,M,South Region,A Level or Equivalent,60-70%,0-35
63,32239,1856,4960,60.692677184564765,-48.75,80.625,finished,didn't withdraw,F,London Region,A Level or Equivalent,30-40%,0-35
64,32327,360,1398,18.00735143996343,-1.0,31.0,unfinished,late withdrawal,F,South West Region,Lower Than A Level,20-30%,0-35
65,32885,1760,5170,72.51198683868839,11.4,54.4,finished,didn't withdraw,F,West Midlands Region,Lower Than A Level,50-60%,0-35
66,32930,645,2190,66.5755469243465,2.6,45.0,finished,didn't withdraw,F,South Region,A Level or Equivalent,40-50%,35-55
67,33387,276,744,26.3268199613125,0.0,59.0,unfinished,late withdrawal,M,Scotland,HE Qualification,10-20,0-35
68,33600,136,481,0.0,-2.0,84.0,unfinished,normal withdrawal,F,London Region,A Level or Equivalent,40-50%,35-55
69,33666,1284,4832,25.33262590976054,8.25,59.0,unfinished,late withdrawal,F,London Region,A Level or Equivalent,10-20,0-35
70,33681,670,1422,28.87737581581985,-15.538461538461538,76.38461538461539,unfinished,late withdrawal,M,South East Region,A Level or Equivalent,50-60%,35-55
71,33796,1086,2106,61.95589173214445,0.16666666666666666,67.0,finished,didn't withdraw,M,East Anglian Region,Lower Than A Level,80-90%,35-55
72,33897,69,322,0.0,-2.0,50.0,unfinished,late withdrawal,M,West Midlands Region,Lower Than A Level,30-40%,0-35
73,33915,12168,49452,73.75529140849955,-50.416666666666664,91.5,finished,didn't withdraw,F,South East Region,A Level or Equivalent,30-40%,0-35
74,33930,1308,3264,78.67289576659732,-5.166666666666667,81.33333333333333,finished,didn't withdraw,F,South West Region,A Level or Equivalent,20-30%,0-35
75,34068,531,1839,21.1163443805977,4.333333333333333,73.33333333333333,unfinished,late withdrawal,M,Scotland,Lower Than A Level,50-60%,0-35
76,34087,728,1406,30.388851072450006,-28.916666666666668,84.45833333333333,unfinished,late withdrawal,M,South East Region,A Level or Equivalent,60-70%,35-55
77,34229,2448,6354,60.972759650149015,5.333333333333333,88.0,finished,didn't withdraw,F,Ireland,A Level or Equivalent,0-10%,35-55
78,34293,366,1842,14.329456840136451,-3.0,74.0,unfinished,late withdrawal,M,West Midlands Region,Lower Than A Level,60-70%,0-35
79,34353,1560,3910,57.61258690157495,2.0,90.6,finished,didn't withdraw,M,Scotland,A Level or Equivalent,70-80%,35-55
80,34431,65,192,0.0,6.0,80.0,unfinished,normal withdrawal,F,Yorkshire Region,Lower Than A Level,70-80%,0-35
81,34653,306,639,29.192017967990466,-4.666666666666667,49.0,finished,didn't withdraw,M,East Midlands Region,Lower Than A Level,30-40%,0-35
82,34662,174,436,18.16060825819698,-4.5,34.5,unfinished,late withdrawal,F,South West Region,A Level or Equivalent,60-70%,35-55
83,34731,636,2043,98.21131064425084,-73.66666666666667,75.66666666666667,unfinished,late withdrawal,M,East Anglian Region,A Level or Equivalent,20-30%,0-35
84,34756,210,387,15.560130046333917,2.0,67.33333333333333,unfinished,normal withdrawal,F,East Midlands Region,Lower Than A Level,10-20,0-35
85,34863,990,2178,55.33879990675275,2.5454545454545454,73.9090909090909,finished,didn't withdraw,F,London Region,A Level or Equivalent,50-60%,0-35
86,35001,96,154,32.900676975626894,-0.5,75.0,finished,didn't withdraw,F,East Midlands Region,Lower Than A Level,70-80%,35-55
87,35340,1832,7248,46.22804622806934,0.0,79.75,finished,didn't withdraw,M,South Region,A Level or Equivalent,50-60%,0-35
88,35355,3638,14548,49.43905693757917,-0.75,75.65789473684211,unfinished,late withdrawal,M,Wales,Lower Than A Level,0-10%,35-55
89,35502,289,545,0.0,-11.0,66.0,unfinished,normal withdrawal,M,West Midlands Region,HE Qualification,30-40%,0-35
90,35508,3936,13648,62.918332378534735,0.625,87.625,finished,didn't withdraw,M,South West Region,A Level or Equivalent,90-100%,0-35
91,35544,6588,25284,73.77512609795546,-36.5,87.58333333333333,finished,didn't withdraw,M,Wales,A Level or Equivalent,80-90%,35-55
92,35747,176,653,0.0,0.0,54.0,unfinished,normal withdrawal,M,North Western Region,A Level or Equivalent,0-10%,35-55
93,35796,194,602,0.0,-2.0,82.0,finished,didn't withdraw,M,Wales,A Level or Equivalent,20-30%,0-35
94,35812,11,19,0.0,0.0,71.0,finished,didn't withdraw,F,East Anglian Region,Lower Than A Level,30-40%,0-35
95,35860,4950,22150,79.9648452170592,-54.9,83.0,finished,didn't withdraw,M,South West Region,A Level or Equivalent,10-20,0-35
96,36347,5357,23771,78.100469482157,-2.4545454545454546,67.45454545454545,finished,didn't withdraw,M,North Western Region,Lower Than A Level,10-20,0-35
97,36385,1525,6775,94.06414639151114,-109.2,70.6,unfinished,late withdrawal,M,West Midlands Region,Lower Than A Level,70-80%,0-35
98,37298,6105,23067,77.10598766200543,-29.09090909090909,84.18181818181819,finished,didn't withdraw,M,Ireland,HE Qualification,0-10%,0-35
99,37622,1800,4700,60.58545288639242,1.9,81.9,finished,didn't withdraw,F,Scotland,HE Qualification,80-90%,0-35
100,37652,956,3540,75.8313068381008,3.25,97.5,finished,didn't withdraw,F,London Region,HE Qualification,20-30%,35-55
101,38053,3615,12225,72.37905916166778,2.0,68.0,finished,didn't withdraw,M,Wales,A Level or Equivalent,80-90%,35-55
102,38234,287,658,56.686698776536794,0.5714285714285714,77.71428571428571,finished,didn't withdraw,F,East Midlands Region,A Level or Equivalent,60-70%,0-35
103,38711,248,676,51.86769769824113,6.75,38.75,unfinished,late withdrawal,M,West Midlands Region,Lower Than A Level,0-10%,35-55
104,39208,3500,10335,66.12110101926615,-1.2,77.4,finished,didn't withdraw,F,Wales,A Level or Equivalent,90-100%,35-55
105,39411,58,164,0.0,0.0,70.0,finished,didn't withdraw,F,West Midlands Region,Lower Than A Level,0-10%,0-35
106,39427,55,93,0.0,0.0,84.0,unfinished,late withdrawal,F,South Region,A Level or Equivalent,90-100%,0-35
107,39655,1958,4752,55.33879990675275,1.0909090909090908,83.0909090909091,finished,didn't withdraw,F,Scotland,Lower Than A Level,50-60%,0-35
108,39660,1124,2520,33.674916480965464,-3.25,64.5,finished,didn't withdraw,F,North Western Region,Lower Than A Level,0-10%,0-35
109,39882,4125,19371,78.100469482157,-66.72727272727273,78.45454545454545,finished,didn't withdraw,F,Scotland,A Level or Equivalent,80-90%,0-35
110,40184,5600,13132,78.9986503016501,-18.714285714285715,93.71428571428571,finished,didn't withdraw,M,Wales,HE Qualification,30-40%,55<=
111,40419,1520,4208,82.90506089984504,-2.263157894736842,71.55263157894737,unfinished,late withdrawal,M,East Midlands Region,Lower Than A Level,20-30%,35-55
112,40563,2065,4088,79.06233322235192,-3.857142857142857,71.14285714285714,finished,didn't withdraw,F,South East Region,A Level or Equivalent,0-10%,0-35
113,40604,1182,2790,65.1909016545759,2.1666666666666665,68.66666666666667,finished,didn't withdraw,M,Ireland,A Level or Equivalent,0-10%,35-55
114,40857,130,304,0.0,0.0,86.0,unfinished,late withdrawal,F,North Western Region,A Level or Equivalent,30-40%,0-35
115,40878,7452,29460,80.03509982689516,-60.666666666666664,90.58333333333333,finished,didn't withdraw,M,North Western Region,Lower Than A Level,0-10%,0-35
116,41060,2354,4521,49.440130770581945,0.9090909090909091,82.81818181818181,finished,didn't withdraw,M,Ireland,HE Qualification,70-80%,0-35
117,41414,2619,8685,56.7863694584572,-40.0,80.0,finished,didn't withdraw,F,West Midlands Region,Lower Than A Level,0-10%,0-35
118,41547,1300,5035,66.19619599067883,-2.4,61.6,finished,didn't withdraw,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35
119,42552,13968,60948,80.00069832097452,-56.583333333333336,71.0,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,80-90%,0-35
120,42616,13656,49116,79.2697721341089,-26.25,80.25,finished,didn't withdraw,F,Scotland,Lower Than A Level,80-90%,35-55
121,42638,20048,70016,62.221919335691084,-0.30357142857142855,74.48214285714286,finished,didn't withdraw,M,Scotland,HE Qualification,90-100%,35-55
122,42668,8700,34068,73.75529140849955,-20.666666666666668,78.66666666666667,finished,didn't withdraw,M,London Region,Lower Than A Level,10-20,35-55
123,42746,29444,118464,77.07473827595935,-45.18032786885246,94.05327868852459,finished,didn't withdraw,F,South Region,HE Qualification,50-60%,35-55
124,42818,93,200,0.0,0.0,39.0,finished,didn't withdraw,F,East Anglian Region,Lower Than A Level,40-50%,0-35
125,43273,4668,22344,73.82677127480753,-7.666666666666667,76.0,finished,didn't withdraw,M,East Midlands Region,HE Qualification,60-70%,35-55
126,43284,3798,7623,45.45758473552588,1.6666666666666667,71.44444444444444,unfinished,late withdrawal,M,East Midlands Region,Lower Than A Level,80-90%,0-35
127,43430,15348,68316,73.75529140849955,-69.75,86.58333333333333,finished,didn't withdraw,M,South West Region,A Level or Equivalent,50-60%,35-55
128,43564,2412,9336,49.440873778686395,-0.75,92.75,finished,didn't withdraw,M,Scotland,HE Qualification,80-90%,35-55
129,43958,5273,17688,97.6718973108178,-123.94495412844037,82.91743119266054,unfinished,late withdrawal,M,Wales,A Level or Equivalent,90-100%,35-55
130,45423,9468,52596,80.03509982689516,-46.833333333333336,63.333333333333336,finished,didn't withdraw,M,South West Region,Lower Than A Level,70-80%,35-55
131,45462,1775,7460,72.37905916166778,0.4,68.0,finished,didn't withdraw,M,Scotland,HE Qualification,30-40%,0-35
132,45642,2655,7140,72.37905916166778,2.6,72.4,finished,didn't withdraw,F,North Western Region,A Level or Equivalent,90-100%,0-35
133,45664,5640,14815,69.42632732165178,0.8222222222222222,52.888888888888886,unfinished,late withdrawal,M,Yorkshire Region,HE Qualification,60-70%,0-35
134,46016,633,1167,17.51521078079428,0.0,65.0,unfinished,late withdrawal,M,North Western Region,Lower Than A Level,40-50%,0-35
135,46148,9936,44688,74.70570216177525,-23.833333333333332,84.75,finished,didn't withdraw,M,North Western Region,A Level or Equivalent,10-20,35-55
136,46605,8112,27416,67.83312858281957,-0.125,93.0,finished,didn't withdraw,M,East Anglian Region,HE Qualification,60-70%,35-55
137,46705,2940,8043,74.16367035145981,4.285714285714286,83.71428571428571,finished,didn't withdraw,M,Ireland,HE Qualification,0-10%,35-55
138,46753,3222,10674,78.90781581203737,6.833333333333333,58.5,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,60-70%,35-55
139,46812,47,141,0.0,0.0,55.0,unfinished,normal withdrawal,F,North Region,Lower Than A Level,0-10%,0-35
140,46844,840,1700,72.51198683868839,-0.2,64.8,finished,didn't withdraw,M,North Region,HE Qualification,30-40%,35-55
141,47061,408,1388,52.86379332928436,0.5,70.5,finished,didn't withdraw,M,East Midlands Region,A Level or Equivalent,90-100%,0-35
142,47063,320,548,37.62544236342582,2.0,49.25,unfinished,late withdrawal,M,London Region,HE Qualification,40-50%,35-55
143,47855,88,132,62.48781699441318,-121.18181818181819,45.90909090909091,unfinished,late withdrawal,F,Scotland,Lower Than A Level,10-20,35-55
144,47861,20172,105084,80.01666493091716,-40.5,53.333333333333336,finished,didn't withdraw,M,South East Region,A Level or Equivalent,50-60%,0-35
145,47891,165,354,38.56545238483608,0.0,65.66666666666667,finished,didn't withdraw,F,Wales,Lower Than A Level,10-20,0-35
146,47924,26,68,14.966629547095765,4.0,41.0,finished,didn't withdraw,M,West Midlands Region,Lower Than A Level,0-10%,35-55
147,48040,9141,20119,61.40098944399996,1.5454545454545454,77.27272727272727,finished,didn't withdraw,F,East Midlands Region,A Level or Equivalent,20-30%,35-55
148,48152,1068,3168,85.42408082564108,-3.0,52.166666666666664,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,70-80%,0-35
149,48503,1680,4340,64.33370280386242,0.5,76.8,finished,didn't withdraw,F,West Midlands Region,Lower Than A Level,10-20,0-35
150,48635,11866,53464,79.65452677885692,-61.67045454545455,86.75,unfinished,normal withdrawal,M,South Region,HE Qualification,90-100%,0-35
151,49119,5522,16620,68.15517739048302,1.4102564102564104,83.71794871794872,finished,didn't withdraw,M,Ireland,HE Qualification,0-10%,0-35
152,49123,2484,12258,56.86284945198175,-44.44444444444444,85.11111111111111,finished,didn't withdraw,M,Yorkshire Region,Lower Than A Level,50-60%,0-35
153,50069,1254,3186,39.95602257279118,2.0,84.83333333333333,finished,didn't withdraw,F,Scotland,A Level or Equivalent,30-40%,0-35
154,50263,14646,71206,80.8065192960191,-67.05294117647058,79.01764705882353,unfinished,normal withdrawal,M,West Midlands Region,HE Qualification,80-90%,35-55
155,50476,1386,3408,72.94746968424151,-7.666666666666667,87.66666666666667,finished,didn't withdraw,F,South West Region,HE Qualification,0-10%,0-35
156,50487,11868,60252,79.25151351999266,-69.83333333333333,81.08333333333333,finished,didn't withdraw,F,East Anglian Region,Lower Than A Level,90-100%,0-35
157,50610,33,39,27.33587386567329,-56.333333333333336,87.33333333333333,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,50-60%,0-35
158,50993,729,1584,58.8444276602863,2.111111111111111,46.22222222222222,finished,didn't withdraw,F,Scotland,Lower Than A Level,0-10%,0-35
159,51030,2394,4824,72.86139594372267,-2.5,80.33333333333333,finished,didn't withdraw,M,West Midlands Region,A Level or Equivalent,60-70%,0-35
160,51033,2628,5478,61.861662184481844,-4.166666666666667,90.83333333333333,finished,didn't withdraw,F,South Region,A Level or Equivalent,80-90%,0-35
161,51153,2802,7074,61.78866904733836,-1.0,63.166666666666664,finished,didn't withdraw,F,East Midlands Region,HE Qualification,30-40%,35-55
162,51163,3255,8169,79.06233322235192,-3.4285714285714284,70.85714285714286,finished,didn't withdraw,M,London Region,HE Qualification,20-30%,35-55
163,51301,260,670,0.0,-2.0,93.0,unfinished,normal withdrawal,F,Wales,Lower Than A Level,30-40%,0-35
164,51485,7980,33000,79.25151351999266,-4.666666666666667,91.58333333333333,finished,didn't withdraw,M,West Midlands Region,Lower Than A Level,10-20,0-35
165,51576,10146,65222,91.71744819431888,-45.63953488372093,87.68023255813954,unfinished,normal withdrawal,F,London Region,Lower Than A Level,10-20,0-35
166,51955,1704,2430,61.861662184481844,0.16666666666666666,54.333333333333336,finished,didn't withdraw,M,Scotland,A Level or Equivalent,80-90%,0-35
167,52014,1392,4188,65.82891168806519,1.0833333333333333,37.333333333333336,finished,didn't withdraw,F,Wales,Lower Than A Level,0-10%,35-55
168,52130,2965,9470,72.37905916166778,1.4,71.4,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,70-80%,0-35
169,52275,27,91,0.0,6.0,38.0,finished,didn't withdraw,M,London Region,No Formal quals,0-10%,0-35
170,52426,155,340,27.16691700046851,0.0,73.0,finished,didn't withdraw,F,Scotland,Lower Than A Level,70-80%,35-55
171,52702,760,2584,60.692677184564765,-20.25,86.875,finished,didn't withdraw,F,Scotland,Lower Than A Level,20-30%,35-55
172,52765,6490,24690,72.37905916166778,1.2,63.0,finished,didn't withdraw,F,Yorkshire Region,Lower Than A Level,0-10%,35-55
173,52797,3740,12287,61.361818154881355,2.090909090909091,87.54545454545455,finished,didn't withdraw,F,South West Region,Lower Than A Level,30-40%,35-55
174,52899,4404,14176,48.19346678061641,3.9431818181818183,81.93181818181819,unfinished,late withdrawal,F,East Midlands Region,Lower Than A Level,50-60%,35-55
175,53025,4520,15790,72.51198683868839,-4.6,78.0,finished,didn't withdraw,M,North Region,Post Graduate Qualification,10-20,55<=
176,53136,9972,41916,74.77810311770654,-60.166666666666664,74.58333333333333,finished,didn't withdraw,F,London Region,A Level or Equivalent,30-40%,0-35
177,53166,5892,34332,79.38366554361285,-42.0,70.66666666666667,finished,didn't withdraw,F,North Region,Lower Than A Level,40-50%,0-35
178,53197,22,60,0.0,0.0,0.0,finished,didn't withdraw,F,North Western Region,No Formal quals,0-10%,0-35
179,53300,5352,15656,70.74959562916344,-14.625,89.75,finished,didn't withdraw,M,West Midlands Region,A Level or Equivalent,90-100%,0-35
180,53488,8414,19964,67.53705541448791,0.6428571428571429,82.07142857142857,finished,didn't withdraw,F,East Anglian Region,HE Qualification,90-100%,0-35
181,53632,1116,2405,40.212408063155856,-34.59090909090909,86.45454545454545,unfinished,late withdrawal,M,Wales,Lower Than A Level,90-100%,0-35
182,53709,5051,26245,79.23454740320071,-70.82584269662921,79.0505617977528,unfinished,late withdrawal,M,Wales,A Level or Equivalent,30-40%,0-35
183,54062,1534,6349,50.19851654112566,0.4838709677419355,79.70967741935483,unfinished,late withdrawal,M,East Anglian Region,A Level or Equivalent,30-40%,0-35
184,54391,100,358,25.589415425487584,2.0,44.5,unfinished,late withdrawal,M,South West Region,Lower Than A Level,10-20,0-35
185,54810,1332,3166,59.97509543129527,-14.823529411764707,73.55882352941177,unfinished,late withdrawal,M,South Region,HE Qualification,40-50%,0-35
186,54867,167,604,0.0,-1.0,74.0,finished,didn't withdraw,F,South West Region,Lower Than A Level,20-30%,0-35
187,54882,840,2490,56.20643767722373,-0.4,45.8,finished,didn't withdraw,M,Scotland,Lower Than A Level,30-40%,0-35
188,55013,808,2416,43.75732496819352,0.5,53.25,finished,didn't withdraw,M,North Region,A Level or Equivalent,10-20,0-35
189,55026,1089,2547,60.28373184789248,2.111111111111111,72.22222222222223,finished,didn't withdraw,F,London Region,A Level or Equivalent,20-30%,35-55
190,55104,2630,7400,72.69036837967197,-0.2,71.0,finished,didn't withdraw,F,West Midlands Region,A Level or Equivalent,60-70%,0-35
191,55419,164,550,111.31865120123922,-109.5,78.0,unfinished,late withdrawal,M,South Region,A Level or Equivalent,90-100%,0-35
192,55450,1276,4780,42.884307500381,1.0,74.25,finished,didn't withdraw,M,South East Region,A Level or Equivalent,30-40%,35-55
193,55968,1164,3468,34.628105507765085,1.5,67.33333333333333,finished,didn't withdraw,F,Wales,Lower Than A Level,10-20,0-35
194,56637,15888,65280,80.01666493091716,-59.083333333333336,86.75,finished,didn't withdraw,M,East Midlands Region,Lower Than A Level,50-60%,0-35
195,56667,1771,9383,83.58990804680147,2.727272727272727,67.36363636363636,finished,didn't withdraw,M,Yorkshire Region,Lower Than A Level,40-50%,35-55
196,56789,1661,4169,61.40098944399996,0.2727272727272727,76.45454545454545,finished,didn't withdraw,F,South East Region,A Level or Equivalent,60-70%,35-55
197,57079,3460,7760,57.38292428937376,1.1,74.4,finished,didn't withdraw,F,London Region,Lower Than A Level,30-40%,35-55
198,57227,3636,8550,78.59878091663967,-3.3333333333333335,79.0,finished,didn't withdraw,F,North Western Region,Lower Than A Level,60-70%,0-35
199,57285,340,1415,66.19619599067883,-0.6,54.2,finished,didn't withdraw,F,London Region,A Level or Equivalent,0-10%,0-35
200,57340,1288,4360,72.4641290570721,2.0,70.75,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,20-30%,0-35
201,57506,2015,6595,72.37905916166778,-0.8,74.0,finished,didn't withdraw,M,South Region,Lower Than A Level,70-80%,35-55
202,57818,7049,21259,79.06233322235192,-6.714285714285714,91.57142857142857,finished,didn't withdraw,M,Wales,A Level or Equivalent,80-90%,35-55
203,57844,5100,23664,79.31630561163236,-7.916666666666667,82.08333333333333,finished,didn't withdraw,M,South West Region,A Level or Equivalent,90-100%,0-35
204,58071,3955,18240,72.27617487488844,4.6,76.0,finished,didn't withdraw,M,East Anglian Region,HE Qualification,90-100%,55<=
205,58089,92,204,18.278153875348274,2.5,87.5,finished,didn't withdraw,F,West Midlands Region,A Level or Equivalent,40-50%,0-35
